Stacks,Blocks,Depth,Steps,QueueLen,H,relErr,Avg Depth,Avg Steps,Avg QL,Avg relErr
10,10,12,125,6950,12,0,12.551724137931,132.862068965517,7910.10344827586,-0.034717150665427
10,10,13,129,8233,13,0,,,,
10,10,12,129,6919,12,0,,,,
10,10,11,21,1141,12,-0.090909090909091,,,,
10,10,11,43,2334,11,0,,,,
10,10,10,10,477,10,0,,,,
10,10,14,308,14525,14,0,,,,
10,10,14,66,3805,20,-0.428571428571429,,,,
10,10,12,54,3331,13,-0.083333333333333,,,,
10,10,13,105,6952,13,0,,,,
10,10,14,451,28413,14,0,,,,
10,10,13,119,7397,13,0,,,,
10,10,14,500,29390,15,-0.071428571428572,,,,
10,10,11,38,2051,11,0,,,,
10,10,14,492,29200,14,0,,,,
10,10,16,290,15641,18,-0.125,,,,
10,10,14,219,14920,14,0,,,,
10,10,12,66,3724,12,0,,,,
10,10,10,30,1402,10,0,,,,
10,10,11,52,3126,11,0,,,,
10,10,13,130,7422,13,0,,,,
10,10,12,57,3229,12,0,,,,
10,10,11,45,2584,11,0,,,,
10,10,14,229,14928,14,0,,,,
10,10,14,152,8111,16,-0.142857142857143,,,,
10,10,14,260,15365,15,-0.071428571428572,,,,
10,10,11,41,2075,11,0,,,,
10,10,12,61,3774,12,0,,,,
10,10,14,203,13478,14,0,,,,
10,10,12,62,3773,12,0,,,,
10,10,15,473,29669,16,-0.066666666666667,,,,
10,10,14,228,15424,15,-0.071428571428572,,,,
10,10,13,61,3837,14,-0.076923076923077,,,,
10,10,12,103,6153,12,0,,,,
10,10,13,109,6795,14,-0.076923076923077,,,,
10,10,12,73,3951,12,0,,,,
10,10,13,126,7660,13,0,,,,
10,10,11,29,1664,12,-0.090909090909091,,,,
10,10,11,21,1069,11,0,,,,
10,10,14,217,14616,16,-0.142857142857143,,,,
10,10,13,128,8171,13,0,,,,
10,10,13,65,3824,13,0,,,,
10,10,13,139,8061,13,0,,,,
10,10,13,103,6585,13,0,,,,
10,10,12,67,3921,13,-0.083333333333333,,,,
10,10,13,67,3624,15,-0.153846153846154,,,,
10,10,14,135,7912,14,0,,,,
10,10,11,71,3827,11,0,,,,
10,10,13,80,3818,13,0,,,,
10,10,11,41,2030,11,0,,,,
10,10,12,106,5826,12,0,,,,
10,10,13,224,14879,13,0,,,,
10,10,13,113,6818,13,0,,,,
10,10,11,21,1114,11,0,,,,
10,10,12,114,6169,13,-0.083333333333333,,,,
10,10,13,149,8132,15,-0.153846153846154,,,,
10,10,12,146,8144,12,0,,,,
10,10,10,10,423,10,0,,,,
